Model,Parameters,Approx_FLOPs,Train_seconds_mean,Train_seconds_sd,Peak_VRAM_MB
Ablation: Event only,18960.0,36672.0,4.9324331734,0.2831044491214142,22.62744140625
Ablation: No event,26051.0,49920.0,5.973415574599994,0.27952348341004124,25.59228515625
Ablation: No relational,32806.0,63360.0,6.152146924600015,0.2684008973410324,26.36328125
Ablation: No temporal,31069.0,59904.0,6.198457336400042,0.187972739747235,26.1279296875
CloudTrace-MVAD (Full),44915.0,86592.0,7.818009096600031,0.4547912700726385,29.85009765625
Denoising Autoencoder,29104.0,57344.0,3.3596198356000286,0.31520984510191113,
Isolation Forest,,,1.1110323843999823,0.02657800635492063,0.0
One-Class SVM,,,0.4266992289999962,0.027431463930136717,0.0
PCA Reconstruction,,,0.658581134200017,0.05347771767033342,0.0
