ROC_AUC,PR_AUC,Precision,Recall,F1,Specificity,FPR,FNR,MCC,Threshold,TN,FP,FN,TP,Model,Seed
0.7576283803023286,0.6954749394989184,0.6711409395973155,0.015420200462606014,0.030147723846849564,0.9924441017733231,0.0075558982266769464,0.9845797995373939,0.036899127045288305,2.013453237664817,6436,49,6385,100,Frequency/Rarity,42
0.9227064413518178,0.8701997174308915,0.8179824561403509,0.05751734772552043,0.10747730874513758,0.987201233616037,0.012798766383962991,0.9424826522744796,0.12139966861498294,0.5435653109863754,6402,83,6112,373,Isolation Forest,42
0.743108555476757,0.6559159089310733,0.614329268292683,0.12428681572860448,0.20674618442990894,0.9219737856592136,0.07802621434078642,0.8757131842713956,0.07670829181100416,0.05100926607000981,5979,506,5679,806,PCA Reconstruction,42
0.8268226837450043,0.8166486688896213,0.9204301075268817,0.13199691595990748,0.2308833445718139,0.9885890516576715,0.011410948342328451,0.8680030840400925,0.2336964070017306,1.3090181746800793,6411,74,5629,856,One-Class SVM,42
0.8742454475038477,0.8181192174339766,0.8638344226579521,0.12228218966846569,0.21423747129542078,0.9807247494217425,0.01927525057825752,0.8777178103315343,0.20082859982512088,0.257022667794539,6360,125,5692,793,Denoising Autoencoder,42
0.8818932486985861,0.8468696284885645,0.8980446927374302,0.09915188897455667,0.1785863074572976,0.9887432536622976,0.01125674633770239,0.9008481110254434,0.19243293620692403,20.96624594653136,6412,73,5842,643,CloudTrace-MVAD (Full),42
0.8026472097105651,0.7182584884589058,0.7193838645722129,0.7273708558211257,0.7233553136022083,0.7162683114880494,0.28373168851195063,0.27262914417887435,0.4436665127589227,50.0,4645,1840,1768,4717,Ablation: Event only,42
0.8828265215558828,0.8251457792750013,0.8777555110220441,0.06754047802621434,0.1254295532646048,0.9905936777178104,0.00940632228218967,0.9324595219737857,0.15112643503828846,13.797179799125574,6424,61,6047,438,Ablation: No event,42
0.7798230540913763,0.6858319382528373,0.4956140350877193,0.05227447956823439,0.09457385967359465,0.9468003084040093,0.05319969159599075,0.9477255204317656,-0.0020697502514750586,43.71789896033203,6140,345,6146,339,Ablation: No temporal,42
0.8558725580471869,0.8427009214366781,0.9166666666666666,0.1272166538164996,0.22342586323628977,0.9884348496530455,0.01156515034695451,0.8727833461835004,0.22755499531022813,30.61704030010742,6410,75,5660,825,Ablation: No relational,42
0.7571338163093884,0.69563627701015,0.644927536231884,0.013723978411719353,0.026876038049222405,0.9924441017733231,0.0075558982266769464,0.9862760215882806,0.030058913084304143,2.013453237664817,6436,49,6396,89,Frequency/Rarity,52
0.925565158669345,0.8737732703274941,0.8651315789473685,0.08111025443330763,0.1483152403778373,0.9873554356206631,0.012644564379336932,0.9188897455666923,0.16195218467235162,0.5421880195062125,6403,82,5959,526,Isolation Forest,52
0.7429719969397381,0.656998159422413,0.6181132075471698,0.12629144178874324,0.20973111395646607,0.9219737856592136,0.07802621434078642,0.8737085582112567,0.07968317896685814,0.05100919224269668,5979,506,5666,819,PCA Reconstruction,52
0.8331183105071962,0.8173979252045876,0.9100877192982456,0.12798766383962992,0.2244153035014195,0.9873554356206631,0.012644564379336932,0.8720123361603701,0.22556231278134536,1.3705832798960047,6403,82,5655,830,One-Class SVM,52
0.8824808332377247,0.8338112232427293,0.9332298136645962,0.1853508095605243,0.30927569792872767,0.9867386276021588,0.013261372397841172,0.8146491904394757,0.2877051673494654,0.25916358313383564,6399,86,5283,1202,Denoising Autoencoder,52
0.8868798585669201,0.8489626375120093,0.8831822759315207,0.13523515805705474,0.23455469376838728,0.982112567463377,0.017887432536622977,0.8647648419429452,0.22066629728831683,21.53679056566132,6369,116,5608,877,CloudTrace-MVAD (Full),52
0.7997833800675184,0.7146906650639324,0.7149307645996388,0.7324595219737856,0.723589001447178,0.7079414032382421,0.2920585967617579,0.26754047802621433,0.44053335581974923,50.0,4591,1894,1735,4750,Ablation: Event only,52
0.8705839286319359,0.822939206996148,0.8846815834767642,0.07925983037779491,0.14548542315312765,0.989668465690054,0.010331534309946029,0.9207401696222051,0.1666101020771305,12.777972141907753,6418,67,5971,514,Ablation: No event,52
0.7738902597715266,0.6544133978724009,0.4867162592986185,0.07062451811873555,0.12335039051979531,0.9255204317656129,0.07447956823438705,0.9293754818812645,-0.007430712090630088,39.23519719836072,6002,483,6027,458,Ablation: No temporal,52
0.8646649732583764,0.8589571187368172,0.8987517337031901,0.09992289899768697,0.17985012489592006,0.9887432536622976,0.01125674633770239,0.9000771010023131,0.19348615531359883,31.045880633437328,6412,73,5837,648,Ablation: No relational,52
0.756661389874861,0.6966372880942074,0.6776315789473685,0.015882806476484195,0.031038119632364018,0.9924441017733231,0.0075558982266769464,0.9841171935235158,0.038686713051885355,2.013453237664817,6436,49,6382,103,Frequency/Rarity,62
0.9160056925150204,0.8619171931348436,0.8461538461538461,0.0746337702390131,0.13716876859855462,0.9864302235929067,0.013569776407093292,0.9253662297609869,0.14870355649294703,0.5451698472945796,6397,88,6001,484,Isolation Forest,62
0.7435660729433738,0.6563230481037874,0.6191553544494721,0.12659984579799538,0.21021636154141596,0.9221279876638396,0.07787201233616037,0.8734001542020047,0.08042002841192944,0.05100949138280832,5980,505,5664,821,PCA Reconstruction,62
0.8251428449140387,0.7842650878831334,0.9063324538258575,0.10593677717810332,0.18970040038658015,0.9890516576715497,0.01094834232845027,0.8940632228218967,0.20246628376683642,1.3510331747842637,6414,71,5798,687,One-Class SVM,62
0.8752243508386889,0.8034327132160968,0.7646276595744681,0.08866615265998458,0.15890562387729723,0.9727062451811873,0.027293754818812646,0.9113338473400154,0.13130283143336668,0.26961230286974885,6308,177,5910,575,Denoising Autoencoder,62
0.8749066257522102,0.8188867990688373,0.8720496894409938,0.10824980724749422,0.1925925925925926,0.9841171935235158,0.015882806476484195,0.8917501927525058,0.19141361510321378,21.74117807004359,6382,103,5783,702,CloudTrace-MVAD (Full),62
0.7952126281573811,0.7087102367950857,0.7070591597599314,0.7629915188897456,0.733961284580583,0.6838858905165767,0.3161141094834233,0.23700848111025444,0.44828221849191746,50.0,4435,2050,1537,4948,Ablation: Event only,62
0.874046043030325,0.8061879279405302,0.8739635157545605,0.08126445643793369,0.1487020316027088,0.9882806476484194,0.01171935235158057,0.9187355435620663,0.1651527103671627,12.393691245864591,6409,76,5958,527,Ablation: No event,62
0.8149258742522482,0.7259251195532864,0.4726477024070022,0.06661526599845798,0.11677253682930126,0.9256746337702391,0.07432536622976099,0.933384734001542,-0.015062438504143013,28.448473231137225,6003,482,6053,432,Ablation: No temporal,62
0.8643502204541765,0.8495891511750362,0.8867924528301887,0.07972243639167309,0.14629315223542727,0.9898226676946801,0.01017733230531997,0.9202775636083269,0.16782598147831948,28.46335634944814,6419,66,5968,517,Ablation: No relational,62
0.7561904971379894,0.69482454875587,0.6643835616438356,0.014957594448727834,0.029256522394812245,0.9924441017733231,0.0075558982266769464,0.9850424055512722,0.03507947255466762,2.013453237664817,6436,49,6388,97,Frequency/Rarity,72
0.9174931057912543,0.8643023833982921,0.8502673796791443,0.07355435620663069,0.13539596934430884,0.9870470316114109,0.012952968388589052,0.9264456437933694,0.14895076136634264,0.548900792497349,6401,84,6008,477,Isolation Forest,72
0.7431770487495905,0.653915977297258,0.6101694915254238,0.12212798766383963,0.20352049338301426,0.9219737856592136,0.07802621434078642,0.8778720123361604,0.07347778356226198,0.05100896332324979,5979,506,5693,792,PCA Reconstruction,72
0.8304392617088602,0.7930373392937842,0.9068627450980392,0.1141094834232845,0.20271195726612792,0.9882806476484194,0.01171935235158057,0.8858905165767155,0.2108450375847903,1.26307178119914,6409,76,5745,740,One-Class SVM,72
0.8847667323144746,0.8227122840968009,0.7195301027900147,0.15111796453353893,0.24977698483496877,0.941094834232845,0.058905165767154974,0.848882035466461,0.1503951843864519,0.26681137786586445,6103,382,5505,980,Denoising Autoencoder,72
0.8730692797387243,0.8280767599936588,0.8838896952104499,0.09390902081727062,0.16977976024533037,0.9876638396299152,0.01233616037008481,0.9060909791827294,0.18185665366687337,21.745908728965432,6405,80,5876,609,CloudTrace-MVAD (Full),72
0.8027836493562928,0.7168881166283336,0.7160439560439561,0.7535851966075559,0.7343350864012022,0.7011565150346954,0.29884348496530455,0.2464148033924441,0.45536799248933574,50.0,4547,1938,1598,4887,Ablation: Event only,72
0.8932935206029691,0.8446956067748941,0.884437596302003,0.08851195065535852,0.16091954022988506,0.9884348496530455,0.01156515034695451,0.9114880493446414,0.1764636339267797,11.109260443292268,6410,75,5911,574,Ablation: No event,72
0.7984662547876038,0.6952244883103491,0.4599109131403118,0.06368542791056284,0.11187864011919274,0.9252120277563608,0.07478797224363917,0.9363145720894371,-0.0218677809403862,39.15485400028344,6000,485,6072,413,Ablation: No temporal,72
0.8652987113967409,0.8558887845141857,0.8743169398907104,0.07401696222050887,0.13647995450668182,0.9893600616808018,0.01063993831919815,0.9259830377794911,0.15739008457952003,29.6873659302748,6416,69,6005,480,Ablation: No relational,72
0.7559254408934918,0.6954022023020401,0.6776315789473685,0.015882806476484195,0.031038119632364018,0.9924441017733231,0.0075558982266769464,0.9841171935235158,0.038686713051885355,2.013453237664817,6436,49,6382,103,Frequency/Rarity,82
0.921668116149658,0.8818822535076167,0.8732612055641422,0.08712413261372398,0.15844083006169377,0.9873554356206631,0.012644564379336932,0.912875867386276,0.17105539106636514,0.5420365621123889,6403,82,5920,565,Isolation Forest,82
0.743887780888106,0.6566460710256564,0.6198347107438017,0.1272166538164996,0.21110542476970318,0.9219737856592136,0.07802621434078642,0.8727833461835004,0.0810482834534803,0.05100925712931309,5979,506,5660,825,PCA Reconstruction,82
