start_time,end_time,identity_hash,source_ip_hash,dominant_API,dominant_service,dominant_region,dominant_error,n_events,error_rate,identity_ip_novel_rate,identity_ua_novel_rate,identity_region_novel_rate,transition_surprise_mean,anomaly_score
2020-10-07 16:05:48+00:00,2020-10-07 21:03:30+00:00,9704946196b9,baa723a9664f,GetBucketAcl,s3.amazonaws.com,us-west-2,NoSuchBucket,23470,0.99987215,0.0,1.0,0.0,0.8641392,22.930580361298965
2020-07-18 14:29:16+00:00,2020-07-18 14:37:42+00:00,fa2de934d660,2ecfc287107d,SharedSnapshotVolumeCreated,ec2.amazonaws.com,us-west-2,NoError,2,0.0,1.0,1.0,1.0,13.845187,22.896568579821142
2020-09-26 02:00:14+00:00,2020-09-26 02:00:17+00:00,e2c0f96d5149,0f906021c885,GetBucketLifecycle,s3.amazonaws.com,us-west-2,AccessDenied,16,0.9375,1.0,1.0,1.0,10.391223,22.686563861155655
2020-09-13 04:55:36+00:00,2020-09-13 04:55:36+00:00,f644a8a9161f,e109e8f0869c,GetCallerIdentity,sts.amazonaws.com,us-east-1,NoError,1,0.0,1.0,1.0,0.0,4.049128,22.431002795339698
2020-09-24 17:35:46+00:00,2020-09-24 18:21:57+00:00,f1a6f4f0ea7b,44379ed5721d,ListPipelines,sagemaker.amazonaws.com,us-east-1,AccessDenied,4054,0.549334,0.94548595,0.94548595,0.0,12.019158,22.41431738673257
2020-05-09 18:50:48+00:00,2020-05-09 18:52:50+00:00,30e94f1ca7bc,812c8727cad9,ListBuckets,s3.amazonaws.com,us-west-1,AccessDenied,4,1.0,1.0,1.0,0.0,2.2965045,22.30887694755105
2020-04-19 05:43:50+00:00,2020-04-19 05:50:03+00:00,9704946196b9,a92ef9308f82,RunInstances,ec2.amazonaws.com,us-west-1,Client.UnauthorizedOperation,319,1.0,1.0,1.0,0.0,0.06151671,22.14218708761367
2020-07-06 15:49:27+00:00,2020-07-06 15:59:38+00:00,30e94f1ca7bc,f5926c216ba4,DescribeInstances,ec2.amazonaws.com,us-west-2,Client.UnauthorizedOperation,2,0.5,1.0,1.0,0.0,5.0122304,22.10234042050767
2020-10-06 22:18:34+00:00,2020-10-06 22:18:34+00:00,e6f0836e4bfc,2ecfc287107d,SharedSnapshotVolumeCreated,ec2.amazonaws.com,us-west-2,NoError,1,0.0,1.0,1.0,1.0,13.845187,22.066346013187715
2020-09-30 15:13:26+00:00,2020-09-30 15:14:03+00:00,e2c0f96d5149,0f906021c885,GetBucketAcl,s3.amazonaws.com,us-west-2,AccessDenied,48,0.9375,1.0,1.0,1.0,9.962036,21.822183000089105
2020-05-16 04:54:38+00:00,2020-05-16 05:06:32+00:00,9704946196b9,f0c19e57f8dc,RunInstances,ec2.amazonaws.com,us-east-1,Client.UnauthorizedOperation,317,0.9968454,0.9905363,1.0,0.0,0.05614025,21.760946683778652
2020-08-30 17:22:43+00:00,2020-08-30 17:22:43+00:00,2dc2a0a0c57e,a401a4eb247a,GetBucketAcl,s3.amazonaws.com,us-west-2,AccessDenied,1,1.0,1.0,1.0,1.0,7.346287,21.733901460258004
2020-06-09 22:42:59+00:00,2020-06-09 22:47:19+00:00,30e94f1ca7bc,0618bd7fb602,DescribeStacks,ec2.amazonaws.com,us-east-1,Client.UnauthorizedOperation,236,0.9788136,1.0,1.0,0.63135594,3.652554,21.554926069447
2020-08-24 00:01:36+00:00,2020-08-24 00:01:36+00:00,ab3a9cb7ed5b,7e2dc3d56e4b,CreateBucket,s3.amazonaws.com,ap-southeast-2,BucketAlreadyExists,1,1.0,1.0,1.0,1.0,8.886732,21.49415492930181
2020-08-10 15:10:20+00:00,2020-08-10 15:27:06+00:00,30e94f1ca7bc,3c7ac534bcab,ListBuckets,iam.amazonaws.com,us-east-1,AccessDenied,17,0.88235295,1.0,1.0,0.0,7.6165733,21.39059630117932
2020-06-09 22:48:24+00:00,2020-06-09 22:56:38+00:00,f644a8a9161f,0618bd7fb602,DescribeLoadBalancers,ec2.amazonaws.com,us-east-1,AccessDenied,1137,0.99384344,1.0,1.0,0.0,4.2272086,21.376310759777446
2020-05-25 02:07:41+00:00,2020-05-25 02:12:57+00:00,30e94f1ca7bc,8b7e0e5dfd3c,GetCallerIdentity,sts.amazonaws.com,us-east-1,NoError,4,0.5,1.0,1.0,0.0,3.2523255,21.183787491954682
2020-09-16 22:44:34+00:00,2020-09-16 22:44:34+00:00,4ef5e0cfa9a9,46c056c0eaed,GetBucketAcl,s3.amazonaws.com,us-west-2,AccessDenied,1,1.0,1.0,1.0,1.0,7.346287,21.158959685934796
2020-06-05 19:12:14+00:00,2020-06-05 20:13:27+00:00,9704946196b9,a5db6bcefcb5,DescribeSnapshots,ec2.amazonaws.com,us-east-1,AccessDenied,827,0.80411124,0.8706167,0.9625151,0.0,11.754461,20.870156908485377
2020-05-02 19:23:07+00:00,2020-05-02 19:23:07+00:00,f644a8a9161f,13263e91b19a,GetCallerIdentity,sts.amazonaws.com,us-east-1,NoError,1,0.0,1.0,1.0,0.0,4.049128,20.846915213001992
2020-08-24 04:45:00+00:00,2020-08-24 04:45:00+00:00,9704946196b9,ba0f34b07a13,CreateBucket,s3.amazonaws.com,ap-southeast-2,AccessDenied,1,1.0,0.0,1.0,0.0,8.886732,20.8371170575192
2020-08-30 11:08:32+00:00,2020-08-30 11:45:59+00:00,9704946196b9,3d42ed2b4c0b,RunInstances,ec2.amazonaws.com,us-east-1,Client.UnauthorizedOperation,523,0.99808794,1.0,1.0,0.0,0.047101013,20.76988694624343
2020-06-10 04:58:48+00:00,2020-06-10 07:26:01+00:00,9704946196b9,f6aec92ffe9b,DescribeSnapshots,ec2.amazonaws.com,us-east-1,AccessDenied,1967,0.7178444,0.96847993,0.96847993,0.0,10.540411,20.712186935750495
2020-09-21 21:18:22+00:00,2020-09-21 23:23:26+00:00,f1a6f4f0ea7b,1a98527a595b,DescribeImages,ec2.amazonaws.com,us-east-1,NoError,2193,0.4236206,0.18513452,0.9598723,0.0,12.822046,20.67917924725601
2020-05-25 14:33:27+00:00,2020-05-25 14:45:42+00:00,f1a6f4f0ea7b,409082d6f45d,GetPolicyVersion,iam.amazonaws.com,us-east-1,NoError,699,0.2846924,0.9928469,0.94706726,0.0,7.378014,20.62464585204834
2020-10-06 14:39:18+00:00,2020-10-06 16:28:04+00:00,9704946196b9,b89e3181863f,DescribeSnapshots,ec2.amazonaws.com,us-east-1,AccessDenied,1713,0.8091068,0.96205485,0.9579685,0.0,12.103755,20.439679027410545
2020-04-21 07:54:05+00:00,2020-04-21 08:02:44+00:00,f1a6f4f0ea7b,c5505b69b0db,ListResources,ram.amazonaws.com,eu-north-1,AccessDenied,13,0.61538464,1.0,1.0,0.0,10.404616,20.43519150241013
2020-06-18 18:18:04+00:00,2020-06-18 18:18:51+00:00,f644a8a9161f,4afb523fcd36,DescribeSnapshots,ec2.amazonaws.com,us-west-2,Client.UnauthorizedOperation,2,1.0,1.0,1.0,0.0,2.780139,20.417331511750948
2020-05-31 10:48:50+00:00,2020-05-31 10:48:50+00:00,f1a6f4f0ea7b,409082d6f45d,DescribeImages,ec2.amazonaws.com,ap-southeast-2,NoError,1,0.0,1.0,1.0,0.0,7.734052,20.40505798406005
2020-04-19 13:26:41+00:00,2020-04-19 13:38:17+00:00,f1a6f4f0ea7b,409082d6f45d,GetPolicyVersion,iam.amazonaws.com,us-east-1,NoError,607,0.32125205,0.99176276,0.9654036,0.0,7.4600453,20.345003486793516
2020-08-14 09:08:55+00:00,2020-08-14 09:08:55+00:00,30e94f1ca7bc,bd4a4bbdac79,GetCallerIdentity,sts.amazonaws.com,us-east-1,NoError,1,0.0,0.0,1.0,0.0,4.049128,20.32238138566798
2020-09-30 19:10:01+00:00,2020-09-30 19:23:53+00:00,e6f0836e4bfc,2ecfc287107d,SharedSnapshotVolumeCreated,ec2.amazonaws.com,us-west-2,NoError,2,0.0,1.0,1.0,1.0,13.845187,20.130567356599457
2020-05-30 08:05:00+00:00,2020-05-30 08:11:51+00:00,30e94f1ca7bc,c2fb06ccf1bf,GetCallerIdentity,sts.amazonaws.com,us-east-1,NoError,4,0.25,1.0,1.0,0.0,2.6305077,20.1282848836851
2020-07-11 06:57:18+00:00,2020-07-11 07:04:18+00:00,9704946196b9,09ea432c4115,DescribeKeyPairs,ec2.amazonaws.com,us-east-1,Client.DryRunOperation,184,0.82608694,1.0,1.0,0.0,8.772637,20.068281487830184
2020-05-28 09:29:56+00:00,2020-05-28 09:32:54+00:00,4a372f7ee7d6,2ecfc287107d,SharedSnapshotVolumeCreated,ec2.amazonaws.com,us-west-2,NoError,2,0.0,1.0,1.0,1.0,13.845187,19.757034083210428
2020-10-06 14:08:12+00:00,2020-10-06 14:08:14+00:00,e2c0f96d5149,0f906021c885,GetBucketLifecycle,s3.amazonaws.com,us-west-2,AccessDenied,16,0.9375,1.0,1.0,1.0,9.293696,19.57897558896957
2020-10-04 20:31:53+00:00,2020-10-04 20:34:14+00:00,d2429d9d954f,2ecfc287107d,SharedSnapshotVolumeCreated,ec2.amazonaws.com,us-west-2,NoError,2,0.0,1.0,1.0,1.0,13.845187,19.57327274752902
2020-05-12 08:08:35+00:00,2020-05-12 08:27:23+00:00,4de0c24155c6,2ecfc287107d,SharedSnapshotVolumeCreated,ec2.amazonaws.com,us-west-2,NoError,2,0.0,1.0,1.0,1.0,13.845187,19.52568538907991
2020-04-28 08:20:09+00:00,2020-04-28 08:29:49+00:00,f1a6f4f0ea7b,409082d6f45d,GetPolicyVersion,iam.amazonaws.com,us-east-1,NoError,608,0.3223684,0.9917763,0.96546054,0.0,7.47462,19.49671251963872
2020-09-25 21:34:41+00:00,2020-09-25 22:31:25+00:00,f1a6f4f0ea7b,44379ed5721d,ListPipelines,iam.amazonaws.com,us-east-1,AccessDenied,1323,0.5298564,0.9493575,0.9493575,0.0,11.834868,19.4599481475305
2020-09-10 02:00:15+00:00,2020-09-10 02:00:17+00:00,e2c0f96d5149,0f906021c885,GetBucketTagging,s3.amazonaws.com,us-west-2,AccessDenied,16,0.9375,1.0,1.0,1.0,10.509991,19.38973341381413
2020-08-19 02:00:49+00:00,2020-08-19 02:00:51+00:00,e2c0f96d5149,0f906021c885,GetBucketAcl,s3.amazonaws.com,us-west-2,AccessDenied,16,0.9375,1.0,1.0,1.0,10.742264,19.37828614002116
2020-08-10 14:03:25+00:00,2020-08-10 15:30:06+00:00,9704946196b9,3c7ac534bcab,DescribeSnapshots,ec2.amazonaws.com,us-west-2,NoError,134,0.02238806,1.0,1.0,0.0,1.5169218,19.260845965455104
2020-09-21 00:48:38+00:00,2020-09-21 00:49:46+00:00,f1a6f4f0ea7b,409082d6f45d,GetCallerIdentity,iam.amazonaws.com,us-east-1,NoError,329,0.32826748,1.0,1.0,0.0,6.764284,19.25691162643219
2020-08-02 18:43:43+00:00,2020-08-02 18:48:32+00:00,30e94f1ca7bc,b1f05493d32e,ListBuckets,s3.amazonaws.com,us-east-1,AccessDenied,3,0.6666667,1.0,1.0,0.0,2.4720402,19.22718267420965
