Target_alert_rate,Target_alerts_per_1000,Threshold,Observed_test_rate,Observed_alerts_per_1000,Method
0.001,1.0,26.663436101404606,0.0052404438964241675,5.240443896424168,GPD-EVT
0.005,5.0,20.96624594653136,0.01125154130702836,11.25154130702836,GPD-EVT
0.01,10.0,17.562983377082237,0.02250308261405672,22.50308261405672,GPD-EVT
