Model,Runs,ROC_AUC_mean,ROC_AUC_sd,ROC_AUC,PR_AUC_mean,PR_AUC_sd,PR_AUC,Precision_mean,Precision_sd,Precision,Recall_mean,Recall_sd,Recall,F1_mean,F1_sd,F1,Specificity_mean,Specificity_sd,Specificity,FPR_mean,FPR_sd,FPR,FNR_mean,FNR_sd,FNR,MCC_mean,MCC_sd,MCC
Ablation: No relational,5,0.862237232115629,0.003929754136074237,0.8622 ± 0.0039,0.8532435083600209,0.007039641525282947,0.8532 ± 0.0070,0.9000473426557098,0.020466414654145042,0.9000 ± 0.0205,0.10044718581341557,0.023886034862755604,0.1004 ± 0.0239,0.1801156387922278,0.03907737781768513,0.1801 ± 0.0391,0.9892675404780263,0.0006686039595583241,0.9893 ± 0.0007,0.010732459521973787,0.0006686039595583282,0.0107 ± 0.0007,0.8995528141865844,0.02388603486275559,0.8996 ± 0.0239,0.19419132471810382,0.03199155145548455,0.1942 ± 0.0320
CloudTrace-MVAD (Full),5,0.8796404632242485,0.005620497004451266,0.8796 ± 0.0056,0.8382676322353596,0.013905193170818618,0.8383 ± 0.0139,0.889137531315708,0.014230840889796507,0.8891 ± 0.0142,0.10966846569005395,0.015962104892323827,0.1097 ± 0.0160,0.1949214268198615,0.024962809196698122,0.1949 ± 0.0250,0.9862760215882806,0.0030039722033582497,0.9863 ± 0.0030,0.013723978411719354,0.003003972203358236,0.0137 ± 0.0030,0.8903315343099459,0.01596210489232385,0.8903 ± 0.0160,0.19911423745406212,0.015556441192550252,0.1991 ± 0.0156
Ablation: No event,5,0.873606416325201,0.017138352049008716,0.8736 ± 0.0171,0.8196349918414898,0.01780077503476185,0.8196 ± 0.0178,0.8846485465444548,0.010920213201795379,0.8846 ± 0.0109,0.08299151888974557,0.011434055247549311,0.0830 ± 0.0114,0.1515911806178072,0.019262470497409586,0.1516 ± 0.0193,0.9892675404780263,0.0009480602096493261,0.9893 ± 0.0009,0.010732459521973787,0.0009480602096493073,0.0107 ± 0.0009,0.9170084811102545,0.011434055247549304,0.9170 ± 0.0114,0.17051921404069909,0.015587459316987141,0.1705 ± 0.0156
Ablation: Event only,5,0.8007454626624874,0.0033851383788092424,0.8007 ± 0.0034,0.7153085582016155,0.003947633041065518,0.7153 ± 0.0039,0.7151455208261337,0.004853327109814729,0.7151 ± 0.0049,0.7887432536622976,0.10089531549988602,0.7887 ± 0.1009,0.7479318275729053,0.043089527020753915,0.7479 ± 0.0431,0.6859830377794911,0.03840800185797837,0.6860 ± 0.0384,0.31401696222050884,0.03840800185797838,0.3140 ± 0.0384,0.21125674633770236,0.100895315499886,0.2113 ± 0.1009,0.4829377680176381,0.08063646964091048,0.4829 ± 0.0806
Ablation: No temporal,5,0.7964898392530297,0.019285917157776687,0.7965 ± 0.0193,0.6968684629199877,0.029374048063323343,0.6969 ± 0.0294,0.47850017004643186,0.013610559330247034,0.4785 ± 0.0136,0.06445643793369314,0.007298985379206703,0.0645 ± 0.0073,0.11345626823856136,0.011407047396061555,0.1135 ± 0.0114,0.9295296838858906,0.009666264310348562,0.9295 ± 0.0097,0.0704703161141095,0.009666264310348536,0.0705 ± 0.0097,0.9355435620663067,0.007298985379206688,0.9355 ± 0.0073,-0.011786533277230938,0.007521037672346272,-0.0118 ± 0.0075
